condition,checkpoint,policy,worlds,eligible,useful,raw_unauthorized,mediated_unauthorized,restoration,off_target,accuracy
s2202-b12-w1-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b12-w1-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-live_internal,initial,live_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-live_internal,learned_phase_1,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-live_internal,immediate_drift,live_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-live_internal,learned_phase_2,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-live_internal,persisted_state_reload,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-live_internal,learner_state_reset,live_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-live_internal,after_guarded_attack,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-live_internal,after_unverified_attack,live_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-live_internal,initial,live_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-live_internal,learned_phase_1,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-live_internal,immediate_drift,live_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-live_internal,learned_phase_2,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-live_internal,persisted_state_reload,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-live_internal,learner_state_reset,live_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-live_internal,after_guarded_attack,live_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-live_internal,after_unverified_attack,live_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-external_matched,initial,external_matched,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-external_matched,learned_phase_1,external_matched,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-external_matched,immediate_drift,external_matched,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-external_matched,learned_phase_2,external_matched,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-external_matched,persisted_state_reload,external_matched,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-external_matched,learner_state_reset,external_matched,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-external_matched,initial,external_matched,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-external_matched,learned_phase_1,external_matched,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-external_matched,immediate_drift,external_matched,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-external_matched,learned_phase_2,external_matched,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-external_matched,persisted_state_reload,external_matched,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-external_matched,learner_state_reset,external_matched,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-visible_task,initial,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-visible_task,learned_phase_1,visible_task,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-visible_task,immediate_drift,visible_task,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-visible_task,learned_phase_2,visible_task,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-visible_task,persisted_state_reload,visible_task,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-visible_task,learner_state_reset,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-visible_task,initial,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-visible_task,learned_phase_1,visible_task,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-visible_task,immediate_drift,visible_task,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-visible_task,learned_phase_2,visible_task,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-visible_task,persisted_state_reload,visible_task,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-visible_task,learner_state_reset,visible_task,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-yoked_internal,initial,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-yoked_internal,learned_phase_1,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-yoked_internal,immediate_drift,yoked_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-yoked_internal,learned_phase_2,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-yoked_internal,learner_state_reset,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-yoked_internal,initial,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-yoked_internal,learned_phase_1,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-yoked_internal,immediate_drift,yoked_internal,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-yoked_internal,learned_phase_2,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-yoked_internal,learner_state_reset,yoked_internal,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-constant_feedback,initial,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-constant_feedback,learned_phase_1,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-constant_feedback,immediate_drift,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-constant_feedback,learned_phase_2,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-constant_feedback,learner_state_reset,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-constant_feedback,initial,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-constant_feedback,learned_phase_1,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-constant_feedback,immediate_drift,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-constant_feedback,learned_phase_2,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w1-constant_feedback,learner_state_reset,constant_feedback,64,8,0,6,0,0.0,0.0,0.78125
s2202-b48-w0-fixed_wiring,initial,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-fixed_wiring,learned_phase_1,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-fixed_wiring,immediate_drift,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-fixed_wiring,learned_phase_2,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w0-fixed_wiring,learner_state_reset,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-fixed_wiring,initial,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-fixed_wiring,learned_phase_1,fixed_wiring,64,8,0,6,0,0.0,1.0,0.78125
s2202-b48-w1-fixed_wiring,immediate_drift,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-fixed_wiring,learned_phase_2,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-fixed_wiring,learner_state_reset,fixed_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-oracle_wiring,initial,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w0-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-oracle_wiring,initial,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s2202-b48-w1-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,2,0,1.0,0.0,0.90625
s3303-b12-w0-live_internal,initial,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-live_internal,learned_phase_1,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-live_internal,immediate_drift,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-live_internal,learned_phase_2,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-live_internal,persisted_state_reload,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-live_internal,learner_state_reset,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-live_internal,after_guarded_attack,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-live_internal,after_unverified_attack,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-live_internal,initial,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-live_internal,learned_phase_1,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-live_internal,immediate_drift,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-live_internal,learned_phase_2,live_internal,64,8,4,3,0,0.625,0.375,0.890625
s3303-b12-w1-live_internal,persisted_state_reload,live_internal,64,8,4,3,0,0.625,0.375,0.890625
s3303-b12-w1-live_internal,learner_state_reset,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-live_internal,after_guarded_attack,live_internal,64,8,4,3,0,0.625,0.375,0.890625
s3303-b12-w1-live_internal,after_unverified_attack,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-external_matched,initial,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-external_matched,learned_phase_1,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-external_matched,immediate_drift,external_matched,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-external_matched,learned_phase_2,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-external_matched,persisted_state_reload,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-external_matched,learner_state_reset,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-external_matched,initial,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-external_matched,learned_phase_1,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-external_matched,immediate_drift,external_matched,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-external_matched,learned_phase_2,external_matched,64,8,4,3,0,0.625,0.375,0.890625
s3303-b12-w1-external_matched,persisted_state_reload,external_matched,64,8,4,3,0,0.625,0.375,0.890625
s3303-b12-w1-external_matched,learner_state_reset,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-visible_task,initial,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-visible_task,learned_phase_1,visible_task,64,8,4,3,0,0.625,0.0,0.890625
s3303-b12-w0-visible_task,immediate_drift,visible_task,64,8,0,7,0,0.0,0.625,0.765625
s3303-b12-w0-visible_task,learned_phase_2,visible_task,64,8,4,3,0,0.625,0.0,0.890625
s3303-b12-w0-visible_task,persisted_state_reload,visible_task,64,8,4,3,0,0.625,0.0,0.890625
s3303-b12-w0-visible_task,learner_state_reset,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-visible_task,initial,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-visible_task,learned_phase_1,visible_task,64,8,4,3,0,0.625,0.0,0.890625
s3303-b12-w1-visible_task,immediate_drift,visible_task,64,8,0,7,0,0.0,0.625,0.765625
s3303-b12-w1-visible_task,learned_phase_2,visible_task,64,8,0,7,0,0.0,0.625,0.765625
s3303-b12-w1-visible_task,persisted_state_reload,visible_task,64,8,0,7,0,0.0,0.625,0.765625
s3303-b12-w1-visible_task,learner_state_reset,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-yoked_internal,initial,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-yoked_internal,learned_phase_1,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-yoked_internal,immediate_drift,yoked_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-yoked_internal,learned_phase_2,yoked_internal,64,8,0,7,0,0.375,0.625,0.765625
s3303-b12-w0-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,7,0,0.375,0.625,0.765625
s3303-b12-w0-yoked_internal,learner_state_reset,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-yoked_internal,initial,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-yoked_internal,learned_phase_1,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-yoked_internal,immediate_drift,yoked_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-yoked_internal,learned_phase_2,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-yoked_internal,learner_state_reset,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-constant_feedback,initial,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-constant_feedback,learned_phase_1,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-constant_feedback,immediate_drift,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-constant_feedback,learned_phase_2,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-constant_feedback,learner_state_reset,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-constant_feedback,initial,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-constant_feedback,learned_phase_1,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-constant_feedback,immediate_drift,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-constant_feedback,learned_phase_2,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w1-constant_feedback,learner_state_reset,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b12-w0-fixed_wiring,initial,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-fixed_wiring,learned_phase_1,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-fixed_wiring,immediate_drift,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-fixed_wiring,learned_phase_2,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w0-fixed_wiring,learner_state_reset,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-fixed_wiring,initial,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-fixed_wiring,learned_phase_1,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b12-w1-fixed_wiring,immediate_drift,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-fixed_wiring,learned_phase_2,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-fixed_wiring,learner_state_reset,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-oracle_wiring,initial,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w0-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-oracle_wiring,initial,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b12-w1-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-live_internal,initial,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-live_internal,learned_phase_1,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-live_internal,immediate_drift,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-live_internal,learned_phase_2,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-live_internal,persisted_state_reload,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-live_internal,learner_state_reset,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-live_internal,after_guarded_attack,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-live_internal,after_unverified_attack,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-live_internal,initial,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-live_internal,learned_phase_1,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-live_internal,immediate_drift,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-live_internal,learned_phase_2,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-live_internal,persisted_state_reload,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-live_internal,learner_state_reset,live_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-live_internal,after_guarded_attack,live_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-live_internal,after_unverified_attack,live_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-external_matched,initial,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-external_matched,learned_phase_1,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-external_matched,immediate_drift,external_matched,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-external_matched,learned_phase_2,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-external_matched,persisted_state_reload,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-external_matched,learner_state_reset,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-external_matched,initial,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-external_matched,learned_phase_1,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-external_matched,immediate_drift,external_matched,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-external_matched,learned_phase_2,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-external_matched,persisted_state_reload,external_matched,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-external_matched,learner_state_reset,external_matched,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-visible_task,initial,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-visible_task,learned_phase_1,visible_task,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-visible_task,immediate_drift,visible_task,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-visible_task,learned_phase_2,visible_task,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-visible_task,persisted_state_reload,visible_task,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-visible_task,learner_state_reset,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-visible_task,initial,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-visible_task,learned_phase_1,visible_task,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-visible_task,immediate_drift,visible_task,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-visible_task,learned_phase_2,visible_task,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-visible_task,persisted_state_reload,visible_task,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-visible_task,learner_state_reset,visible_task,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-yoked_internal,initial,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-yoked_internal,learned_phase_1,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-yoked_internal,immediate_drift,yoked_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-yoked_internal,learned_phase_2,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-yoked_internal,learner_state_reset,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-yoked_internal,initial,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-yoked_internal,learned_phase_1,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-yoked_internal,immediate_drift,yoked_internal,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-yoked_internal,learned_phase_2,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-yoked_internal,persisted_state_reload,yoked_internal,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-yoked_internal,learner_state_reset,yoked_internal,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-constant_feedback,initial,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-constant_feedback,learned_phase_1,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-constant_feedback,immediate_drift,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-constant_feedback,learned_phase_2,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-constant_feedback,learner_state_reset,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-constant_feedback,initial,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-constant_feedback,learned_phase_1,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-constant_feedback,immediate_drift,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-constant_feedback,learned_phase_2,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-constant_feedback,persisted_state_reload,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w1-constant_feedback,learner_state_reset,constant_feedback,64,8,0,7,0,0.0,0.0,0.765625
s3303-b48-w0-fixed_wiring,initial,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-fixed_wiring,learned_phase_1,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-fixed_wiring,immediate_drift,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-fixed_wiring,learned_phase_2,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w0-fixed_wiring,learner_state_reset,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-fixed_wiring,initial,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-fixed_wiring,learned_phase_1,fixed_wiring,64,8,0,7,0,0.0,1.0,0.765625
s3303-b48-w1-fixed_wiring,immediate_drift,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-fixed_wiring,learned_phase_2,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-fixed_wiring,persisted_state_reload,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w1-fixed_wiring,learner_state_reset,fixed_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-oracle_wiring,initial,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-oracle_wiring,learned_phase_1,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-oracle_wiring,immediate_drift,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-oracle_wiring,learned_phase_2,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-oracle_wiring,persisted_state_reload,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
s3303-b48-w0-oracle_wiring,learner_state_reset,oracle_wiring,64,8,4,3,0,1.0,0.0,0.890625
